# Constructed from biom file
#OTU ID	A1JSBP1	A1SWBP1	A2SSBP2	A3JMBP4	T14MYBP2	T14OMBP2	T15SBBP4	T15WSBP4	T18JJBP5	T16RMBP5	taxonomy
146007	132.0	3.0	24.0	0.0	602.0	12.0	2.0	0.0	2.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
360049	0.0	43.0	0.0	8.0	0.0	151.0	7.0	117.0	4.0	1.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acidisphaera; s__uncultured_soil
325973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1672.0	0.0	0.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oxyphotobacteria_Incertae_Sedis; f__Unknown_Family; g__Leptolyngbya_ANT.L52.2
4476323	0.0	0.0	0.0	81.0	0.0	3.0	104.0	0.0	1918.0	376.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acidiphilium
619602	0.0	2.0	0.0	0.0	5.0	2.0	0.0	1660.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
194242	920.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__uncultured_Sphingobium
533002	0.0	0.0	325.0	5.0	1472.0	0.0	1.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
18486	0.0	115.0	0.0	8.0	1899.0	86.0	0.0	0.0	0.0	0.0	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosotaleales; f__Nitrosotaleaceae; g__Candidatus_Nitrosotalea
4344371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	901.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
948001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1750.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Gryllotalpicola
1121839	0.0	383.0	0.0	40.0	584.0	3058.0	29.0	0.0	102.0	87.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Rhodoblastus
370736	0.0	0.0	0.0	0.0	1760.0	11.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_jeddahense
4420570	0.0	0.0	102.0	0.0	2149.0	17.0	3.0	0.0	1.0	1.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Daucus_carota
4203118	0.0	22.0	36.0	86.0	0.0	797.0	95.0	0.0	1455.0	2513.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacteraceae; s__uncultured_Acetobacteraceae
336824	457.0	111.0	0.0	16.0	332.0	691.0	16.0	0.0	1.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
767142	0.0	303.0	10.0	182.0	0.0	883.0	308.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
736813	0.0	22.0	0.0	25.0	0.0	55.0	20.0	0.0	467.0	1669.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium
281742	0.0	4.0	331.0	27.0	1023.0	1.0	69.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
